Day;Phase;New_cases;Theoretical cases;;a0;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9
399;3.4342341610474723;61598;75648.1288252553;;1.0;-0.9574851883550394;-0.2884824328806086;0.8335557718385702;0.5524353131676191;-0.638749422051528;-0.7694148268839371;0.3896304495307892;0.920971287716634;-0.1073813466641665;-0.9942179068939516;-0.183998351657678;0.9829265519799826;0.4597327394521036;-0.8880573226294934;-0.6963762255968702;0.7176769136759639;0.8738071036110784;-0.4862727071086944
406;3.4944838831711125;53192;64987.18644811627;;1.0;-0.9383773917408642;-0.3456123126707333;0.7611042586607746;0.6486295610349815;-0.4900286664290588;-0.871706318709322;0.1585593851031345;0.9873494423939864;0.1924515819708294;-0.9813064702716094;-0.5197438121555163;0.8543221697498264;0.7829801036770621;-0.6220467484408686;-0.9497178427914316;0.3131070409358266;0.9994074007397048;0.034421611622747
413;3.5547336052947522;43136;53736.20893456964;;1.0;-0.9158642882672872;-0.4014879892059729;0.677614789046689;0.7354170229639854;-0.32534208471198;-0.9455963874271426;-0.0816763953304221;0.9966589017541702;0.4749510720670494;-0.8800122039735361;-0.7883050558305256;0.6152845999633275;0.9690098257244056;-0.2470221804809376;-0.9866579328916572;-0.1628070129385159;0.8382797052177741;0.5452404385406513
420;3.6149833274183925;42204;43130.70386205593;;1.0;-0.8900275764346766;-0.455906693508459;0.5842981736283681;0.8115390590073613;-0.1500553983446528;-0.9886775902323404;-0.3171912885891069;0.9483615800121712;0.7146733860429624;-0.6994583270516456;-0.9549667548552552;0.2967128192734906;0.9852201067560604;0.1712931441814783;-0.7987793728863638;-0.601624063224924;0.4366512319560611;0.8996308696522447
427;3.6752330495420322;40192;34242.79731079679;;1.0;-0.8609610158889943;-0.5086709438521047;0.4825077417612181;0.8758917051442431;0.0301203048469077;-0.9995462806873572;-0.5343725582809794;0.8452490573530629;0.8900275764346773;-0.4559066935084573;-0.9981855344718586;-0.060213277365792;0.8287700871745036;0.5595892624101767;-0.4288919379124826;-0.9033558023246848;-0.0902516100310396;0.9959189961471792
434;3.7354827716656716;34305;27797.62585709508;;1.0;-0.828770087174504;-0.5595892624101763;0.3737197147904696;0.9275416835791964;0.2093146459630477;-0.977848341505657;-0.72066714955386;0.6932812268869787;0.9852201067560602;-0.17129314418148;-0.912374757970728;-0.40935595881562;0.5270777086423757;0.8498170915275257;0.0387222808921712;-0.9992500112396836;-0.5912614448635736;0.8064799463209481
441;3.7957324937893118;28302;24052.2473687873;;1.0;-0.7935716089521474;-0.6084768701151261;0.2595117970697999;0.9657399376548548;0.381689220266658;-0.9242907221930936;-0.865307254363206;0.5012418134457758;0.99167731989929;0.1287481774525813;-0.7086266782644612;-0.7055836101071763;0.1330147065341972;0.9911140639934544;0.4975132889071801;-0.8674563547295971;-0.9226395488404864;0.38566340624361
448;3.8559822159129515;28664;22762.88366640995;;1.0;-0.7554933140726804;-0.655156357209085;0.1415402952170434;0.989932495087353;0.5416278206559803;-0.840618405634479;-0.9599326896597444;0.2802306751992168;0.9088176373395028;0.4171936026123169;-0.4132786077829067;-0.9106046300942152;-0.2843591872810016;0.958717816987297;0.8429415373547822;-0.5380051715383007;-0.9893142039703664;-0.145799196919874
455;3.9162319380365913;21218;23249.834219223074;;1.0;-0.7146733860429612;-0.6994583270516469;0.0215160974362227;0.9997685019798908;0.6839194216246094;-0.7295575540864887;-0.99907411510223;0.0430222330045315;0.7441039398713609;0.6680638642135331;-0.0645084494493196;-0.997917160865392;-0.6518989958787105;0.7583058084785643;0.9962981749346076;-0.0859647987374485;-0.7721565844991675;-0.6354323008901736
462;3.9764816601602315;26011;24550.362093630916;;1.0;-0.6712599575675315;-0.7412220108485957;-0.0988201387328716;0.9951053111006976;0.8039279618328212;-0.5947266869607635;-0.980469160361632;-0.1966728897935766;0.5123714121284243;0.8587639582758025;0.292600335633348;-0.9562348265919056;-0.9051931898913976;0.4250003399695538;0.9226395488404874;0.3856634062436077;-0.333468778918189;-0.94276114339042
